Name,Appearances,Goals,Yellow cards,Red cards,Team
Samuel Gajdoš,15,1,0,0,1.FK Svidník
Vasyl Hoponko,9,0,0,0,1.FK Svidník
Norbert Grejták,21,4,8,2,1.FK Svidník
Samuel Balica,12,0,0,0,1.FK Svidník
Peter Šimco,13,1,2,1,1.FK Svidník
Timotej Čabala,0,0,0,0,1.FK Svidník
Marek Zlacký,3,0,1,0,1.FK Svidník
Adam Jozef Oravec,11,1,0,0,1.FK Svidník
Igor Komjatý,2,1,1,0,1.FK Svidník
Abov Avetisian,1,0,0,0,1.FK Svidník
Boris Pončák,15,2,1,0,1.FK Svidník
Gabriel Chukwuwenuba Ebede,2,0,1,0,1.FK Svidník
Samuel Šuľák,5,0,0,0,1.FK Svidník
Guilherme Sergio dos Santos Lima,6,1,1,0,1.FK Svidník
Matej Makara,11,0,2,0,1.FK Svidník
Brian Jobko,4,0,1,0,1.FK Svidník
Marko Palaj,18,0,0,0,1.FK Svidník
Kristián Luščík,6,0,0,0,1.FK Svidník
Aldahir Jiménez Yánez,12,0,7,0,1.FK Svidník
Marián Fedor,13,1,4,1,1.FK Svidník
Tadeáš Leško,24,1,3,0,1.FK Svidník
Sebastián Patkaň,4,1,0,0,1.FK Svidník
Marek Vasiľ,26,4,4,0,1.FK Svidník
Cyril Vasiľ,6,2,2,0,1.FK Svidník
Jaroslav Holp,2,0,0,0,1.FK Svidník
Tomáš Jurč,12,0,3,0,1.FK Svidník
Karl Emmanuel Oufouet,8,3,2,0,1.FK Svidník
Ivan Habak,0,0,0,0,1.FK Svidník
Roman Bush,1,0,0,0,1.FK Svidník
Oliver Reiter,15,8,1,0,1.FK Svidník
Tomáš Klučár,19,1,5,1,1.FK Svidník
Oleksandr Voitiuk,14,3,4,0,1.FK Svidník
Tibor Rogoš,1,0,0,0,1.FK Svidník
